studyId,TRIAL_INSTANCE,trial,gen,block,ibk,col,row,resp
2089,18,loc_08,geno_01,1,1,1,1,7158
2089,18,loc_08,geno_02,1,1,2,1,7172
2089,18,loc_08,geno_03,1,1,3,1,6806
2089,18,loc_08,geno_04,1,1,4,1,6658
2089,18,loc_08,geno_05,1,2,5,1,8072
2089,18,loc_08,geno_06,1,2,6,1,7853
2089,18,loc_08,geno_07,1,2,7,1,7744
2089,18,loc_08,geno_08,1,2,8,1,8106
2089,18,loc_08,geno_09,1,3,9,1,7011
2089,18,loc_08,geno_10,1,3,10,1,8439
2089,18,loc_08,geno_11,1,3,11,1,8403
2089,18,loc_08,geno_12,1,3,12,1,8708
2089,18,loc_08,geno_13,1,4,1,2,6956
2089,18,loc_08,geno_14,1,4,2,2,8878
2089,18,loc_08,geno_15,1,4,3,2,9242
2089,18,loc_08,geno_16,1,4,4,2,7128
2089,18,loc_08,geno_17,1,5,5,2,6550
2089,18,loc_08,geno_18,1,5,6,2,8261
2089,18,loc_08,geno_19,1,5,7,2,7903
2089,18,loc_08,geno_20,1,5,8,2,7306
2089,18,loc_08,geno_21,1,6,9,2,6164
2089,18,loc_08,geno_22,1,6,10,2,8172
2089,18,loc_08,geno_23,1,6,11,2,7592
2089,18,loc_08,geno_17,2,1,1,3,7231
2089,18,loc_08,geno_12,2,1,2,3,7792
2089,18,loc_08,geno_22,2,1,3,3,8150
2089,18,loc_08,geno_05,2,1,4,3,8675
2089,18,loc_08,geno_10,2,2,5,3,9717
2089,18,loc_08,geno_16,2,2,6,3,9236
2089,18,loc_08,geno_06,2,2,7,3,8828
2089,18,loc_08,geno_04,2,2,8,3,7522
2089,18,loc_08,geno_18,2,3,9,3,6886
2089,18,loc_08,geno_21,2,3,10,3,6089
2089,18,loc_08,geno_11,2,3,11,3,8283
2089,18,loc_08,geno_15,2,3,12,3,8556
2089,18,loc_08,geno_23,2,4,1,4,7175
2089,18,loc_08,geno_09,2,4,2,4,6764
2089,18,loc_08,geno_07,2,4,3,4,7553
2089,18,loc_08,geno_03,2,4,4,4,7761
2089,18,loc_08,geno_20,2,5,5,4,7761
2089,18,loc_08,geno_14,2,5,6,4,7789
2089,18,loc_08,geno_08,2,5,7,4,7439
2089,18,loc_08,geno_02,2,5,8,4,7694
2089,18,loc_08,geno_01,2,6,9,4,9389
2089,18,loc_08,geno_19,2,6,10,4,9219
2089,18,loc_08,geno_13,2,6,12,4,8611
2089,,loc_09,geno_01,1,1,1,1,980
2089,,loc_09,geno_02,1,1,2,1,1020
2089,,loc_09,geno_03,1,1,3,1,840
2089,,loc_09,geno_04,1,1,4,1,910
2089,,loc_09,geno_05,1,2,5,1,990
2089,,loc_09,geno_06,1,2,6,1,720
2089,,loc_09,geno_07,1,2,7,1,820
2089,,loc_09,geno_08,1,2,8,1,870
2089,,loc_09,geno_09,1,3,9,1,1120
2089,,loc_09,geno_10,1,3,10,1,1090
2089,,loc_09,geno_11,1,3,11,1,1090
2089,,loc_09,geno_12,1,3,12,1,900
2089,,loc_09,geno_13,1,4,1,2,910
2089,,loc_09,geno_14,1,4,2,2,900
2089,,loc_09,geno_15,1,4,3,2,1020
2089,,loc_09,geno_16,1,4,4,2,1100
2089,,loc_09,geno_17,1,5,5,2,1080
2089,,loc_09,geno_18,1,5,6,2,1110
2089,,loc_09,geno_19,1,5,7,2,1080
2089,,loc_09,geno_20,1,5,8,2,1110
2089,,loc_09,geno_21,1,6,9,2,1140
2089,,loc_09,geno_22,1,6,10,2,990
2089,,loc_09,geno_23,1,6,11,2,920
2089,,loc_09,geno_17,2,1,1,3,1110
2089,,loc_09,geno_12,2,1,2,3,960
2089,,loc_09,geno_22,2,1,3,3,1000
2089,,loc_09,geno_05,2,1,4,3,1040
2089,,loc_09,geno_10,2,2,5,3,1100
2089,,loc_09,geno_16,2,2,6,3,1040
2089,,loc_09,geno_06,2,2,7,3,770
2089,,loc_09,geno_04,2,2,8,3,850
2089,,loc_09,geno_18,2,3,9,3,1120
2089,,loc_09,geno_21,2,3,10,3,1110
2089,,loc_09,geno_11,2,3,11,3,1100
2089,,loc_09,geno_15,2,3,12,3,1010
2089,,loc_09,geno_23,2,4,1,4,990
2089,,loc_09,geno_09,2,4,2,4,990
2089,,loc_09,geno_07,2,4,3,4,920
2089,,loc_09,geno_03,2,4,4,4,850
2089,,loc_09,geno_20,2,5,5,4,1210
2089,,loc_09,geno_14,2,5,6,4,960
2089,,loc_09,geno_08,2,5,7,4,910
2089,,loc_09,geno_02,2,5,8,4,1040
2089,,loc_09,geno_01,2,6,9,4,900
2089,,loc_09,geno_19,2,6,10,4,950
2089,,loc_09,geno_13,2,6,12,4,940
2089,,loc_10,geno_01,1,1,1,1,1542
2089,,loc_10,geno_02,1,1,2,1,1525
2089,,loc_10,geno_03,1,1,3,1,1692
2089,,loc_10,geno_04,1,1,4,1,1283
2089,,loc_10,geno_05,1,2,5,1,1217
2089,,loc_10,geno_06,1,2,6,1,2025
2089,,loc_10,geno_07,1,2,7,1,1875
2089,,loc_10,geno_08,1,2,8,1,1575
2089,,loc_10,geno_09,1,3,9,1,1725
2089,,loc_10,geno_10,1,3,10,1,3283
2089,,loc_10,geno_11,1,3,11,1,3025
2089,,loc_10,geno_12,1,3,12,1,2517
2089,,loc_10,geno_13,1,4,1,2,2817
2089,,loc_10,geno_14,1,4,2,2,3158
2089,,loc_10,geno_15,1,4,3,2,3150
2089,,loc_10,geno_16,1,4,4,2,2200
2089,,loc_10,geno_17,1,5,5,2,2267
2089,,loc_10,geno_18,1,5,6,2,2142
2089,,loc_10,geno_19,1,5,7,2,1683
2089,,loc_10,geno_20,1,5,8,2,1992
2089,,loc_10,geno_21,1,6,9,2,1642
2089,,loc_10,geno_22,1,6,10,2,2075
2089,,loc_10,geno_23,1,6,11,2,3025
2089,,loc_10,geno_17,2,1,1,3,3200
2089,,loc_10,geno_12,2,1,2,3,1950
2089,,loc_10,geno_22,2,1,3,3,2083
2089,,loc_10,geno_05,2,1,4,3,2025
2089,,loc_10,geno_10,2,2,5,3,1917
2089,,loc_10,geno_16,2,2,6,3,1850
2089,,loc_10,geno_06,2,2,7,3,1325
2089,,loc_10,geno_04,2,2,8,3,1292
2089,,loc_10,geno_18,2,3,9,3,1700
2089,,loc_10,geno_21,2,3,10,3,1450
2089,,loc_10,geno_11,2,3,11,3,2767
2089,,loc_10,geno_15,2,3,12,3,3117
2089,,loc_10,geno_23,2,4,1,4,3317
2089,,loc_10,geno_09,2,4,2,4,2158
2089,,loc_10,geno_07,2,4,3,4,2067
2089,,loc_10,geno_03,2,4,4,4,2475
2089,,loc_10,geno_20,2,5,5,4,1292
2089,,loc_10,geno_14,2,5,6,4,1417
2089,,loc_10,geno_08,2,5,7,4,1558
2089,,loc_10,geno_02,2,5,8,4,1858
2089,,loc_10,geno_01,2,6,9,4,1608
2089,,loc_10,geno_19,2,6,10,4,1417
2089,,loc_10,geno_13,2,6,12,4,1317
2089,2,loc_11,geno_01,1,1,1,1,1008
2089,2,loc_11,geno_02,1,1,2,1,1324
2089,2,loc_11,geno_03,1,1,3,1,1488
2089,2,loc_11,geno_04,1,1,4,1,1273
2089,2,loc_11,geno_05,1,2,5,1,1086
2089,2,loc_11,geno_06,1,2,6,1,1831
2089,2,loc_11,geno_07,1,2,7,1,1416
2089,2,loc_11,geno_08,1,2,8,1,1629
2089,2,loc_11,geno_09,1,3,9,1,1116
2089,2,loc_11,geno_10,1,3,10,1,1537
2089,2,loc_11,geno_11,1,3,11,1,1884
2089,2,loc_11,geno_12,1,3,12,1,898
2089,2,loc_11,geno_13,1,4,1,2,1733
2089,2,loc_11,geno_14,1,4,2,2,1429
2089,2,loc_11,geno_15,1,4,3,2,1708
2089,2,loc_11,geno_16,1,4,4,2,1429
2089,2,loc_11,geno_17,1,5,5,2,1363
2089,2,loc_11,geno_18,1,5,6,2,1473
2089,2,loc_11,geno_19,1,5,7,2,1351
2089,2,loc_11,geno_20,1,5,8,2,1618
2089,2,loc_11,geno_21,1,6,9,2,1543
2089,2,loc_11,geno_22,1,6,10,2,2096
2089,2,loc_11,geno_23,1,6,11,2,1329
2089,2,loc_11,geno_17,2,1,1,3,1025
2089,2,loc_11,geno_12,2,1,2,3,1335
2089,2,loc_11,geno_22,2,1,3,3,1492
2089,2,loc_11,geno_05,2,1,4,3,1273
