"","gen","predicted.value","std.error","status","weight","Environment"
"181","geno_20",7774.88942059205,353.120689175577,"Estimable",9.96274463259336e-06,"loc_08"
"182","geno_21",6829.09264318107,355.437550767559,"Estimable",9.7350336062425e-06,"loc_08"
"183","geno_22",8123.98942097552,355.490438896963,"Estimable",9.7350336062425e-06,"loc_08"
"184","geno_23",7672.11282844302,355.455037817674,"Estimable",9.73503360624249e-06,"loc_08"
"185","geno_01",946.914066257135,30.8419413944469,"Estimable",0.0011135843145229,"loc_09"
"186","geno_02",1012.71091387156,30.4744852413092,"Estimable",0.0011452959619739,"loc_09"
"187","geno_03",851.321767695241,30.5467369774743,"Estimable",0.00114235539110888,"loc_09"
"188","geno_04",892.030918796406,30.457560900478,"Estimable",0.00114175374396095,"loc_09"
"189","geno_05",1016.66375883245,30.5673569552244,"Estimable",0.0011397815040158,"loc_09"
"190","geno_06",782.479435790248,30.4334279182767,"Estimable",0.00114627694613036,"loc_09"
"191","geno_07",891.531959581216,30.4728061539146,"Estimable",0.00114529657311626,"loc_09"
"192","geno_08",903.535022941817,30.50309531505,"Estimable",0.00113656189165718,"loc_09"
"193","geno_09",1042.86618638743,30.5639686672948,"Estimable",0.00113656173420288,"loc_09"
"194","geno_10",1086.93312168971,30.4311856429373,"Estimable",0.00114595375681526,"loc_09"
"195","geno_11",1086.32567717884,31.1615975070702,"Estimable",0.00110197903745668,"loc_09"
"196","geno_12",924.453222397462,30.4488961574991,"Estimable",0.00114384507454369,"loc_09"
"197","geno_13",941.248757888827,30.5789199538,"Estimable",0.00113006815387648,"loc_09"
"198","geno_14",922.584558623986,30.6641528884804,"Estimable",0.00112940936476847,"loc_09"
"199","geno_15",1015.11499805354,30.61674586932,"Estimable",0.00113656002247012,"loc_09"
"200","geno_16",1068.83636737838,30.4445483126873,"Estimable",0.0011452964273646,"loc_09"
"201","geno_17",1069.39869636446,31.2120226871396,"Estimable",0.00109409165087245,"loc_09"
"202","geno_18",1099.04968822726,30.4293776546876,"Estimable",0.00114595385356874,"loc_09"
"203","geno_19",1020.95677136062,30.6425370749014,"Estimable",0.00112065071854019,"loc_09"
"204","geno_20",1132.4007295451,30.4376788701746,"Estimable",0.00114627685282729,"loc_09"
"205","geno_21",1116.04952594473,30.7706688009947,"Estimable",0.00112239221312697,"loc_09"
"206","geno_22",988.881917212499,30.5796482409856,"Estimable",0.00112968020739478,"loc_09"
"207","geno_23",957.908929001262,30.5900967840954,"Estimable",0.00112989801380383,"loc_09"
"208","geno_01",2018.77448613751,248.560227054827,"Estimable",2.13324918094155e-05,"loc_10"
"209","geno_02",2098.50037096479,246.9875763708,"Estimable",2.18636714764714e-05,"loc_10"
"210","geno_03",2099.17416690384,246.881067099759,"Estimable",2.18636714764714e-05,"loc_10"
"211","geno_04",1806.96065951701,246.991007045251,"Estimable",2.18636714764714e-05,"loc_10"
"212","geno_05",1732.18276497284,246.970909676279,"Estimable",2.18636714764714e-05,"loc_10"
"213","geno_06",1993.21682746441,247.051261448943,"Estimable",2.18636714764714e-05,"loc_10"
"214","geno_07",1943.05365692632,246.991007045251,"Estimable",2.18636714764714e-05,"loc_10"
"215","geno_08",1933.82044403915,247.022900703924,"Estimable",2.18636714764714e-05,"loc_10"
"216","geno_09",1703.01312733984,246.9875763708,"Estimable",2.18636714764714e-05,"loc_10"
"217","geno_10",2406.7733760366,247.022900703924,"Estimable",2.18636714764714e-05,"loc_10"
"218","geno_11",2441.22039514737,246.955190453253,"Estimable",2.18636714764714e-05,"loc_10"
"219","geno_12",1931.75388984196,246.98710599642,"Estimable",2.18636714764714e-05,"loc_10"
"220","geno_13",2017.30473920577,248.58392650831,"Estimable",2.13324918094155e-05,"loc_10"
"221","geno_14",2168.24497304143,246.98710599642,"Estimable",2.18636714764714e-05,"loc_10"
"222","geno_15",2564.40698218517,246.872867525731,"Estimable",2.18636714764714e-05,"loc_10"
"223","geno_16",1973.5978614464,246.970909676279,"Estimable",2.18636714764714e-05,"loc_10"
"224","geno_17",2431.23107652648,246.872867525731,"Estimable",2.18636714764714e-05,"loc_10"
"225","geno_18",1930.68638195339,246.885521846025,"Estimable",2.18636714764714e-05,"loc_10"
"226","geno_19",1859.83009796755,248.5472143491,"Estimable",2.13324918094155e-05,"loc_10"
